"","gene_name","homolog","p"
"12932","Ha412HOChr05g0221321","AT1G76400",0
"12933","Ha412HOChr05g0221331","AT4G15010",1.54e-17
"12934","Ha412HOChr05g0221351","AT2G33640",0
"12935","Ha412HOChr05g0221361","AT1G42960",9.36e-52
"12936","Ha412HOChr05g0221371","AT1G42970",0
"12937","Ha412HOChr05g0221411","AT2G33700",0
"12938","Ha412HOChr05g0221421","AT5G42360",0
"12939","Ha412HOChr05g0221431","AT1G20780",0
"12940","Ha412HOChr05g0221441","AT2G13770",5.96e-15
"12941","Ha412HOChr05g0221461","AT4G38260",7.8e-93
"12942","Ha412HOChr05g0221481","AT4G37420",5.94e-169
"12943","Ha412HOChr05g0221501","AT1G20575",2.2e-157
"12944","Ha412HOChr05g0221521","AT3G26040",5.93e-96
"12945","Ha412HOChr05g0221531","AT5G42310",0
"12946","Ha412HOChr05g0221541","AT1G20550",0
"12947","Ha412HOChr05g0221551","AT1G42430",0
"12948","Ha412HOChr05g0221561","AT1G76240",1.29e-50
"12949","Ha412HOChr05g0221631","AT4G35190",5.55e-124
"12950","Ha412HOChr05g0221651","AT3G03190",3.61e-70
"12951","Ha412HOChr05g0221701","AT1G78060",7.28e-08
"12952","Ha412HOChr05g0221731","AT2G17030",7.92e-35
"12953","Ha412HOChr05g0221791","AT1G76140",0
"12954","Ha412HOChr05g0221801","AT1G76160",0
"12955","Ha412HOChr05g0221841","AT5G42430",6.18e-17
"12956","Ha412HOChr05g0221851","AT1G07220",1.36e-62
"12957","Ha412HOChr05g0221861","AT1G07220",1.55e-19
"12958","Ha412HOChr05g0221871","AT5G42430",1.86e-23
"12959","Ha412HOChr05g0221881","AT1G53165",3.38e-19
"12960","Ha412HOChr05g0221891","AT1G65620",4.4e-80
"12961","Ha412HOChr05g0221911","AT1G19850",2.57e-20
"12962","Ha412HOChr05g0221921","AT1G19850",0
"12963","Ha412HOChr05g0221931","AT1G18440",1.33e-118
"12964","Ha412HOChr05g0221941","AT5G22791",2.09e-19
"12965","Ha412HOChr05g0221951","AT2G31470",1.46e-06
"12966","Ha412HOChr05g0221961","AT4G14040",4.41e-14
"12967","Ha412HOChr05g0222011","AT1G47790",7.02e-23
"12968","Ha412HOChr05g0222021","AT5G65850",5.81e-26
"12969","Ha412HOChr05g0222041","AT5G65850",9.07e-24
"12970","Ha412HOChr05g0222051","AT1G19940",0
"12971","Ha412HOChr05g0222091","AT1G19940",0
"12972","Ha412HOChr05g0222111","AT2G13770",2.97e-08
"12973","Ha412HOChr05g0222121","AT5G02500",2.29e-23
"12974","Ha412HOChr05g0222131","AT3G12580",6.74e-19
"12975","Ha412HOChr05g0222141","AT3G09440",5.9e-25
"12976","Ha412HOChr05g0222151","AT1G75690",4.22e-78
"12977","Ha412HOChr05g0222171","AT4G19130",5.13e-16
"12978","Ha412HOChr05g0222181","AT2G38280",3.22e-27
"12979","Ha412HOChr05g0222191","AT5G65850",1.5e-19
"12980","Ha412HOChr05g0222231","AT2G31470",2.41e-11
"12981","Ha412HOChr05g0222261","AT5G65850",1.01e-22
"12982","Ha412HOChr05g0222271","AT1G73890",5.26e-20
"12983","Ha412HOChr05g0222301","AT5G22791",2.92e-07
"12984","Ha412HOChr05g0222321","AT1G09815",3.77e-40
"12985","Ha412HOChr05g0222331","AT5G33370",5.42e-165
"12986","Ha412HOChr05g0222341","AT3G04290",2.27e-163
"12987","Ha412HOChr05g0222351","AT1G64790",0
"12988","Ha412HOChr05g0222361","AT1G08260",0
"12989","Ha412HOChr05g0222381","AT5G37360",9.24e-107
"12990","Ha412HOChr05g0222411","AT5G18490",0
"12991","Ha412HOChr05g0222431","AT1G19980",9.09e-42
"12992","Ha412HOChr05g0222441","AT1G75780",0
"12993","Ha412HOChr05g0222451","AT4G24175",3.49e-67
"12994","Ha412HOChr05g0222461","AT4G39900",7.06e-25
"12995","Ha412HOChr05g0222481","AT1G75810",2.81e-31
"12996","Ha412HOChr05g0222491","AT3G28450",8.25e-58
"12997","Ha412HOChr05g0222501","AT5G48380",1.25e-120
"12998","Ha412HOChr05g0222511","AT4G23160",7.01e-100
"12999","Ha412HOChr05g0222521","AT5G64920",1.17e-52
"13000","Ha412HOChr05g0222531","AT1G20080",0
"13001","Ha412HOChr05g0222551","AT1G30910",2.15e-20
"13002","Ha412HOChr05g0222591","AT1G75900",7.36e-127
"13003","Ha412HOChr05g0222641","AT1G80830",5.1e-26
"13004","Ha412HOChr05g0222671","AT4G39330",1.24e-146
"13005","Ha412HOChr05g0222681","AT5G42180",1.76e-173
"13006","Ha412HOChr05g0222691","AT2G31060",9.83e-30
"13007","Ha412HOChr05g0222731","AT1G58470",2.69e-69
"13008","Ha412HOChr05g0222741","AT1G76050",1.49e-171
"13009","Ha412HOChr05g0222751","AT2G15730",1.56e-173
"13010","Ha412HOChr05g0222771","AT4G38470",0
"13011","Ha412HOChr05g0222791","AT1G76100",3.59e-72
"13012","Ha412HOChr05g0222801","AT2G16990",2.25e-123
"13013","Ha412HOChr05g0222811","AT1G76080",9.26e-136
"13014","Ha412HOChr05g0222821","AT5G42560",2.08e-70
"13015","Ha412HOChr05g0222831","AT5G66740",0
"13016","Ha412HOChr05g0222841","AT5G28850",0
"13017","Ha412HOChr05g0222851","AT4G28610",1.08e-78
"13018","Ha412HOChr05g0222861","AT2G23100",1.05e-40
"13019","Ha412HOChr05g0222871","AT5G29560",6.89e-39
"13020","Ha412HOChr05g0222881","AT5G55240",7.51e-65
"13021","Ha412HOChr05g0222891","AT3G04370",1.92e-34
"13022","Ha412HOChr05g0222901","AT1G08620",0
"13023","Ha412HOChr05g0222911","AT3G10220",2.33e-135
"13024","Ha412HOChr05g0222921","AT3G06240",1.32e-22
"13025","Ha412HOChr05g0222931","AT2G39840",0
"13026","Ha412HOChr05g0222951","AT3G23240",2.4e-70
"13027","Ha412HOChr05g0222981","AT4G14465",3.06e-108
"13028","Ha412HOChr05g0222991","AT3G04580",0
"13029","Ha412HOChr05g0223051","AT1G62930",2.55e-120
"13030","Ha412HOChr05g0223061","AT5G43822",1.25e-66
"13031","Ha412HOChr05g0223071","AT1G01040",4.36e-118
"13032","Ha412HOChr05g0223081","AT1G30790",1.84e-17
"13033","Ha412HOChr05g0223091","AT4G11400",2.64e-08
"13034","Ha412HOChr05g0223111","AT1G22410",0
"13035","Ha412HOChr05g0223121","AT4G33510",2.04e-89
"13036","Ha412HOChr05g0223131","AT3G18150",7.35e-11
"13037","Ha412HOChr05g0223141","AT1G22410",0
"13038","Ha412HOChr05g0223151","AT4G33510",1.79e-88
"13039","Ha412HOChr05g0223161","AT3G11910",2.64e-95
"13040","Ha412HOChr05g0223171","AT5G16010",8.56e-92
"13041","Ha412HOChr05g0223191","AT5G06600",0
"13042","Ha412HOChr05g0223211","AT2G13770",4.3e-31
"13043","Ha412HOChr05g0223221","AT5G06600",3.14e-62
"13044","Ha412HOChr05g0223231","AT3G11910",7.87e-40
"13045","Ha412HOChr05g0223241","AT5G06600",2.04e-74
"13046","Ha412HOChr05g0223251","AT5G06600",1.15e-62
"13047","Ha412HOChr05g0223281","AT5G06390",0
"13048","Ha412HOChr05g0223301","AT5G04870",0
"13049","Ha412HOChr05g0223311","AT1G31860",7.19e-133
"13050","Ha412HOChr05g0223321","AT1G21460",5.77e-107
"13051","Ha412HOChr05g0223331","AT5G04850",4.11e-139
"13052","Ha412HOChr05g0223341","ATCG00170",4.16e-65
"13053","Ha412HOChr05g0223351","AT3G44190",1.73e-144
"13054","Ha412HOChr05g0223361","AT3G10620",3.7e-105
"13055","Ha412HOChr05g0223371","AT5G03540",0
"13056","Ha412HOChr05g0223381","AT5G04830",1.22e-80
"13057","Ha412HOChr05g0223401","AT3G52490",0
"13058","Ha412HOChr05g0223411","AT1G09410",2.89e-28
"13059","Ha412HOChr05g0223431","AT5G04820",3.71e-56
"13060","Ha412HOChr05g0223441","AT5G04800",5.32e-73
"13061","Ha412HOChr05g0223451","AT4G30870",0
"13062","Ha412HOChr05g0223461","AT2G02750",4.76e-24
"13063","Ha412HOChr05g0223471","AT2G02750",4.36e-13
"13064","Ha412HOChr05g0223481","AT3G48870",2.81e-26
"13065","Ha412HOChr05g0223521","AT5G63850",2.54e-85
"13066","Ha412HOChr05g0223531","AT5G12080",1.12e-36
"13067","Ha412HOChr05g0223541","AT3G59820",5.02e-73
"13068","Ha412HOChr05g0223571","AT4G27500",6.21e-38
"13069","Ha412HOChr05g0223581","AT5G45230",1.69e-07
"13070","Ha412HOChr05g0223601","AT2G46040",4.28e-07
"13071","Ha412HOChr05g0223621","AT3G06240",1.03e-19
"13072","Ha412HOChr05g0223631","AT3G18980",9.7e-07
"13073","Ha412HOChr05g0223651","AT1G57770",1.2e-18
"13074","Ha412HOChr05g0223661","AT5G04770",0
"13075","Ha412HOChr05g0223691","AT4G09000",2.78e-53
"13076","Ha412HOChr05g0223741","AT1G21280",3.21e-12
"13077","Ha412HOChr05g0223751","AT5G20140",2.85e-89
"13078","Ha412HOChr05g0223801","ATMG00090",2.97e-179
"13079","Ha412HOChr05g0223821","ATMG00510",4.35e-24
"13080","Ha412HOChr05g0223961","AT5G04760",6.28e-73
"13081","Ha412HOChr05g0223971","AT1G02335",2.51e-30
"13082","Ha412HOChr05g0223981","AT5G50960",1.29e-41
"13083","Ha412HOChr05g0223991","AT3G62020",1.43e-28
"13084","Ha412HOChr05g0224001","AT5G50960",1.71e-153
"13085","Ha412HOChr05g0224011","AT5G50960",6.31e-18
"13086","Ha412HOChr05g0224031","AT3G22490",1.75e-58
"13087","Ha412HOChr05g0224041","AT1G67730",1.29e-10
"13088","Ha412HOChr05g0224051","AT3G54300",5.16e-138
"13089","Ha412HOChr05g0224061","AT5G43970",1.03e-34
"13090","Ha412HOChr05g0224081","AT1G29820",0
"13091","Ha412HOChr05g0224121","AT4G39200",5.8e-54
"13092","Ha412HOChr05g0224161","AT2G36160",1.81e-19
"13093","Ha412HOChr05g0224181","AT1G45976",1.14e-35
"13094","Ha412HOChr05g0224191","AT1G45976",4.24e-23
"13095","Ha412HOChr05g0224201","AT1G15520",5.36e-15
"13096","Ha412HOChr05g0224211","AT2G02100",6.91e-12
"13097","Ha412HOChr05g0224241","AT1G32010",1.21e-08
"13098","Ha412HOChr05g0224251","AT1G61070",1.81e-09
"13099","Ha412HOChr05g0224261","AT2G14210",5.51e-31
"13100","Ha412HOChr05g0224291","AT1G72030",9.32e-64
"13101","Ha412HOChr05g0224321","AT1G73450",0
"13102","Ha412HOChr05g0224331","AT5G04740",6.24e-122
"13103","Ha412HOChr05g0224381","AT3G48280",3.65e-73
"13104","Ha412HOChr05g0224391","AT3G48320",4.14e-86
"13105","Ha412HOChr05g0224401","AT4G38180",1.16e-72
"13106","Ha412HOChr05g0224421","AT3G10770",9.83e-57
"13107","Ha412HOChr05g0224441","AT2G16980",3.33e-74
"13108","Ha412HOChr05g0224451","AT2G27610",1.36e-153
"13109","Ha412HOChr05g0224481","AT2G46040",1.09e-06
"13110","Ha412HOChr05g0224491","AT5G04670",1.15e-75
"13111","Ha412HOChr05g0224501","AT4G38140",1.97e-12
"13112","Ha412HOChr05g0224511","AT4G38140",1.85e-13
"13113","Ha412HOChr05g0224521","AT1G75210",7.45e-18
"13114","Ha412HOChr05g0224531","AT5G41400",7.99e-09
"13115","Ha412HOChr05g0224551","AT2G27740",3.54e-54
"13116","Ha412HOChr05g0224561","AT2G36360",0
"13117","Ha412HOChr05g0224571","AT5G06460",1.26e-19
"13118","Ha412HOChr05g0224581","AT3G52240",8.84e-48
"13119","Ha412HOChr05g0224601","AT5G04660",0
"13120","Ha412HOChr05g0224641","AT1G48910",1.18e-156
"13121","Ha412HOChr05g0224661","AT1G48910",3.23e-158
"13122","Ha412HOChr05g0224671","AT1G48910",2.42e-156
"13123","Ha412HOChr05g0224721","AT5G35810",3.81e-66
"13124","Ha412HOChr05g0224741","AT5G35810",1.37e-91
"13125","Ha412HOChr05g0224771","AT5G35830",5.78e-33
"13126","Ha412HOChr05g0224791","AT3G54070",6.4e-44
"13127","Ha412HOChr05g0224801","AT5G04550",0
"13128","Ha412HOChr05g0224821","AT4G14960",8.5e-163
"13129","Ha412HOChr05g0224831","AT3G10030",7.53e-143
"13130","Ha412HOChr05g0224871","AT4G38060",8.95e-08
"13131","Ha412HOChr05g0224881","AT3G52990",0
"13132","Ha412HOChr05g0224891","AT4G15000",1.7e-78
"13133","Ha412HOChr05g0224901","AT3G52200",0
"13134","Ha412HOChr05g0224941","AT2G33730",0
"13135","Ha412HOChr05g0224951","AT5G54160",5.03e-129
"13136","Ha412HOChr05g0224971","AT5G54160",8.97e-130
"13137","Ha412HOChr05g0225011","AT3G18670",9.63e-33
"13138","Ha412HOChr05g0225021","AT5G35810",9.85e-51
"13139","Ha412HOChr05g0225031","AT5G35810",9.85e-51
"13140","Ha412HOChr05g0225061","AT5G20920",3.01e-18
"13141","Ha412HOChr05g0225101","AT3G18670",3.39e-102
"13142","Ha412HOChr05g0225111","AT3G18670",6.34e-112
"13143","Ha412HOChr05g0225121","AT5G43280",1.29e-136
"13144","Ha412HOChr05g0225131","AT5G49350",5.27e-35
"13145","Ha412HOChr05g0225141","AT3G16940",0
"13146","Ha412HOChr05g0225151","AT3G06680",3.03e-31
"13147","Ha412HOChr05g0225161","AT3G16950",0
"13148","Ha412HOChr05g0225171","AT1G04120",8.01e-71
"13149","Ha412HOChr05g0225191","AT1G47710",1.24e-144
"13150","Ha412HOChr05g0225241","AT1G47710",2.04e-143
"13151","Ha412HOChr05g0225281","AT1G47710",5.21e-148
"13152","Ha412HOChr05g0225301","AT1G23550",5.77e-16
"13153","Ha412HOChr05g0225311","AT4G23160",5.62e-67
"13154","Ha412HOChr05g0225331","AT3G02330",8.73e-16
"13155","Ha412HOChr05g0225341","AT1G47710",2.11e-149
"13156","Ha412HOChr05g0225361","AT1G47710",2.25e-45
"13157","Ha412HOChr05g0225371","AT2G26390",4.47e-30
"13158","Ha412HOChr05g0225381","AT1G32250",1e-44
"13159","Ha412HOChr05g0225391","AT1G47710",2.09e-142
"13160","Ha412HOChr05g0225411","AT1G47710",1.61e-144
"13161","Ha412HOChr05g0225431","AT4G23160",2.97e-37
"13162","Ha412HOChr05g0225451","AT4G23160",7.5e-39
"13163","Ha412HOChr05g0225461","AT4G23160",1.55e-81
"13164","Ha412HOChr05g0225481","AT4G23160",1.72e-37
"13165","Ha412HOChr05g0225491","AT1G47710",3.73e-89
"13166","Ha412HOChr05g0225511","AT4G16160",4.81e-61
"13167","Ha412HOChr05g0225531","AT3G06670",0
"13168","Ha412HOChr05g0225561","AT5G49400",3.73e-57
"13169","Ha412HOChr05g0225571","AT3G16980",2.02e-77
"13170","Ha412HOChr05g0225581","AT5G49430",0
"13171","Ha412HOChr05g0225601","AT5G06060",1.9e-111
"13172","Ha412HOChr05g0225611","AT5G06060",2.06e-110
"13173","Ha412HOChr05g0225651","AT5G06060",2.85e-111
"13174","Ha412HOChr05g0225671","AT2G02250",2.33e-10
"13175","Ha412HOChr05g0225681","AT3G24255",4.49e-25
"13176","Ha412HOChr05g0225711","AT3G46290",8.23e-71
"13177","Ha412HOChr05g0225731","AT3G17000",3.2e-140
"13178","Ha412HOChr05g0225741","AT3G17020",6.96e-78
"13179","Ha412HOChr05g0225751","AT3G29785",3.04e-11
"13180","Ha412HOChr05g0225771","AT3G46290",3.33e-75
"13181","Ha412HOChr05g0225791","AT5G62390",1.04e-48
"13182","Ha412HOChr05g0225801","AT3G66652",8.76e-20
"13183","Ha412HOChr05g0225821","AT1G18390",3.06e-12
"13184","Ha412HOChr05g0225851","AT5G49460",0
"13185","Ha412HOChr05g0225861","AT2G23540",2.26e-110
"13186","Ha412HOChr05g0225881","AT2G23540",1.85e-132
"13187","Ha412HOChr05g0225911","AT5G49480",1.11e-42
"13188","Ha412HOChr05g0225941","AT2G34750",2.18e-19
"13189","Ha412HOChr05g0225951","AT3G06590",1.3e-34
"13190","Ha412HOChr05g0225961","AT4G39950",5.84e-177
"13191","Ha412HOChr05g0225971","AT4G11380",3.84e-92
"13192","Ha412HOChr05g0225981","AT5G49510",2.07e-105
"13193","Ha412HOChr05g0225991","AT4G21800",0
"13194","Ha412HOChr05g0226001","AT3G06580",0
"13195","Ha412HOChr05g0226011","AT2G06000",6.89e-169
"13196","Ha412HOChr05g0226041","AT3G17120",1.3e-24
"13197","Ha412HOChr05g0226051","AT3G12220",1.74e-110
"13198","Ha412HOChr05g0226061","AT5G49540",5.41e-51
"13199","Ha412HOChr05g0226071","AT1G47980",3.77e-129
"13200","Ha412HOChr05g0226081","AT1G47980",2.09e-129
"13201","Ha412HOChr05g0226101","AT1G47980",6.49e-128
"13202","Ha412HOChr05g0226171","AT3G17170",1.03e-89
"13203","Ha412HOChr05g0226181","AT3G06520",1.84e-51
"13204","Ha412HOChr05g0226191","AT3G06510",0
"13205","Ha412HOChr05g0226261","AT5G49620",1.67e-91
"13206","Ha412HOChr05g0226281","AT3G01410",4.41e-13
"13207","Ha412HOChr05g0226291","AT3G01410",2.63e-13
"13208","Ha412HOChr05g0226311","AT2G30780",1.29e-146
"13209","Ha412HOChr05g0226391","AT3G52580",1.17e-92
"13210","Ha412HOChr05g0226401","AT3G17300",1.32e-50
"13211","Ha412HOChr05g0226411","AT4G27860",6.03e-38
"13212","Ha412HOChr05g0226421","AT2G34930",1.75e-122
"13213","Ha412HOChr05g0226441","AT1G48110",0
"13214","Ha412HOChr05g0226451","AT3G50770",2.21e-15
"13215","Ha412HOChr05g0226471","AT3G06480",0
"13216","Ha412HOChr05g0226491","AT3G06480",6.68e-131
"13217","Ha412HOChr05g0226501","AT3G01540",3.32e-74
"13218","Ha412HOChr05g0226521","AT3G06480",0
"13219","Ha412HOChr05g0226551","AT1G10630",3.2e-134
"13220","Ha412HOChr05g0226561","AT5G42180",1.9e-52
"13221","Ha412HOChr05g0226571","AT4G14490",2.15e-28
"13222","Ha412HOChr05g0226581","AT5G14670",2.49e-96
"13223","Ha412HOChr05g0226601","AT5G14670",2.97e-96
"13224","Ha412HOChr05g0226611","AT3G62290",1.5e-91
"13225","Ha412HOChr05g0226651","AT3G17360",0
"13226","Ha412HOChr05g0226661","AT5G18525",0
"13227","Ha412HOChr05g0226681","AT1G02500",0
"13228","Ha412HOChr05g0226701","AT3G60030",0
"13229","Ha412HOChr05g0226751","AT1G64600",2.08e-23
"13230","Ha412HOChr05g0226771","AT1G48210",0
"13231","Ha412HOChr05g0226791","AT1G56720",0
"13232","Ha412HOChr05g0226821","AT3G17430",0
"13233","Ha412HOChr05g0226831","AT3G17440",4.58e-150
"13234","Ha412HOChr05g0226861","AT3G06483",0
"13235","Ha412HOChr05g0226881","AT3G17465",1.29e-166
"13236","Ha412HOChr05g0226891","AT3G17510",0
"13237","Ha412HOChr05g0226941","AT5G13750",1.14e-53
"13238","Ha412HOChr05g0226951","AT2G18340",4.33e-40
"13239","Ha412HOChr05g0226961","AT1G64260",3.35e-40
"13240","Ha412HOChr05g0226991","AT5G48960",0
"13241","Ha412HOChr05g0227001","AT5G45430",8.69e-139
"13242","Ha412HOChr05g0227031","AT1G48300",4.27e-35
"13243","Ha412HOChr05g0227041","AT1G48310",0
"13244","Ha412HOChr05g0227061","AT1G48320",6.83e-80
"13245","Ha412HOChr05g0227071","AT3G17590",1.75e-130
"13246","Ha412HOChr05g0227111","AT3G17611",2.07e-134
"13247","Ha412HOChr05g0227121","AT5G59970",2.28e-68
"13248","Ha412HOChr05g0227131","AT5G59970",2.6e-66
"13249","Ha412HOChr05g0227141","AT5G59970",4.28e-67
"13250","Ha412HOChr05g0227161","AT5G59970",4.06e-68
"13251","Ha412HOChr05g0227181","AT1G07660",8.02e-19
"13252","Ha412HOChr05g0227201","AT1G50240",0
"13253","Ha412HOChr05g0227221","AT1G50240",2.12e-117
"13254","Ha412HOChr05g0227231","AT1G44000",4.35e-80
"13255","Ha412HOChr05g0227251","AT1G11040",5.13e-76
"13256","Ha412HOChr05g0227261","AT1G44170",0
"13257","Ha412HOChr05g0227281","AT1G77490",0
"13258","Ha412HOChr05g0227291","AT1G77490",1.04e-18
"13259","Ha412HOChr05g0227301","AT1G21750",0
"13260","Ha412HOChr05g0227311","AT1G30960",4.54e-179
"13261","Ha412HOChr05g0227321","AT4G38510",0
"13262","Ha412HOChr05g0227341","AT1G21710",5.97e-157
"13263","Ha412HOChr05g0227351","AT1G21700",0
"13264","Ha412HOChr05g0227361","AT3G03770",0
"13265","Ha412HOChr05g0227371","AT1G80830",0
"13266","Ha412HOChr05g0227381","AT1G80830",0
"13267","Ha412HOChr05g0227391","AT1G80830",0
"13268","Ha412HOChr05g0227421","AT5G20230",6.82e-25
"13269","Ha412HOChr05g0227431","AT5G20230",5.43e-21
"13270","Ha412HOChr05g0227451","AT1G44110",0
"13271","Ha412HOChr05g0227481","AT5G09220",0
"13272","Ha412HOChr05g0227531","AT4G33430",7.29e-46
"13273","Ha412HOChr05g0227571","AT2G17900",0
"13274","Ha412HOChr05g0227641","AT1G11050",4.18e-163
"13275","Ha412HOChr05g0227651","AT1G11050",0
"13276","Ha412HOChr05g0227671","AT1G11050",4.35e-160
"13277","Ha412HOChr05g0227681","AT1G11050",1.4e-22
"13278","Ha412HOChr05g0227691","AT1G11050",0
"13279","Ha412HOChr05g0227701","AT1G77360",0
"13280","Ha412HOChr05g0227721","AT1G62640",0
"13281","Ha412HOChr05g0227731","AT1G77350",7.09e-64
"13282","Ha412HOChr05g0227741","AT4G29250",2.06e-67
"13283","Ha412HOChr05g0227751","AT5G50530",7.09e-46
"13284","Ha412HOChr05g0227801","AT1G77330",1.55e-160
"13285","Ha412HOChr05g0227811","AT1G77330",2.23e-156
"13286","Ha412HOChr05g0227881","AT5G23260",6.16e-53
"13287","Ha412HOChr05g0227891","AT5G23260",1.98e-69
"13288","Ha412HOChr05g0227901","AT4G23160",5.18e-73
"13289","Ha412HOChr05g0227911","AT2G41020",4.79e-153
"13290","Ha412HOChr05g0227941","AT1G72840",1.03e-43
"13291","Ha412HOChr05g0227951","AT5G17680",1.7e-100
"13292","Ha412HOChr05g0227991","AT5G17680",3.23e-134
"13293","Ha412HOChr05g0228001","AT5G17680",7.09e-28
"13294","Ha412HOChr05g0228011","AT5G17680",3.47e-29
"13295","Ha412HOChr05g0228021","AT4G11400",6.86e-07
"13296","Ha412HOChr05g0228051","AT1G65260",5.24e-156
"13297","Ha412HOChr05g0228061","AT1G21720",1.64e-141
"13298","Ha412HOChr05g0228071","AT1G21610",3.76e-150
"13299","Ha412HOChr05g0228091","AT1G77300",0
"13300","Ha412HOChr05g0228111","AT1G77280",0
"13301","Ha412HOChr05g0228131","AT1G21560",1.19e-13
"13302","Ha412HOChr05g0228191","AT2G39830",4.49e-16
"13303","Ha412HOChr05g0228211","AT4G21390",6.01e-23
"13304","Ha412HOChr05g0228221","AT4G00340",8.92e-76
"13305","Ha412HOChr05g0228231","AT4G08850",0
"13306","Ha412HOChr05g0228301","AT4G24710",1.99e-59
"13307","Ha412HOChr05g0228311","AT1G77260",0
"13308","Ha412HOChr05g0228321","AT1G77270",6.65e-13
"13309","Ha412HOChr05g0228331","ATMG00860",2.24e-29
"13310","Ha412HOChr05g0228341","AT1G77270",2.47e-13
"13311","Ha412HOChr05g0228351","AT1G72510",1.73e-25
"13312","Ha412HOChr05g0228361","AT1G72510",3.69e-21
"13313","Ha412HOChr05g0228371","AT1G29470",0
"13314","Ha412HOChr05g0228391","AT2G19130",3.66e-99
"13315","Ha412HOChr05g0228421","AT2G19130",5.56e-95
"13316","Ha412HOChr05g0228431","AT5G41220",4.42e-06
"13317","Ha412HOChr05g0228441","AT2G27100",4.41e-33
"13318","Ha412HOChr05g0228491","AT1G11300",5.7e-15
"13319","Ha412HOChr05g0228501","AT2G41890",4.29e-14
"13320","Ha412HOChr05g0228511","AT4G32300",6.25e-74
"13321","Ha412HOChr05g0228521","AT2G29200",6.48e-65
"13322","Ha412HOChr05g0228551","AT2G23350",5.13e-06
"13323","Ha412HOChr05g0228561","AT2G19130",1.8e-101
"13324","Ha412HOChr05g0228571","AT1G71950",2.74e-17
"13325","Ha412HOChr05g0228591","AT2G19130",3.7e-106
"13326","Ha412HOChr05g0228611","AT1G71950",2.46e-32
"13327","Ha412HOChr05g0228621","AT4G00340",2.36e-99
"13328","Ha412HOChr05g0228631","AT4G00340",5.11e-96
"13329","Ha412HOChr05g0228661","AT2G19130",5.76e-102
"13330","Ha412HOChr05g0228671","AT2G19130",4e-102
"13331","Ha412HOChr05g0228681","AT2G19130",6.1e-103
"13332","Ha412HOChr05g0228691","AT4G24210",2.28e-45
"13333","Ha412HOChr05g0228711","AT3G06240",1.72e-20
"13334","Ha412HOChr05g0228821","AT5G41220",2.28e-15
"13335","Ha412HOChr05g0228931","AT4G27740",7.98e-36
"13336","Ha412HOChr05g0228951","ATCG01250",2.98e-81
"13337","Ha412HOChr05g0228971","ATCG01250",1.11e-99
"13338","Ha412HOChr05g0228991","AT5G47550",5.88e-10
"13339","Ha412HOChr05g0229001","AT1G47200",7.76e-33
"13340","Ha412HOChr05g0229021","AT4G10120",0
"13341","Ha412HOChr05g0229031","AT1G33490",1.87e-67
"13342","Ha412HOChr05g0229041","AT1G77800",0
"13343","Ha412HOChr05g0229051","AT4G09620",8.09e-67
"13344","Ha412HOChr05g0229061","AT1G22680",6.75e-32
"13345","Ha412HOChr05g0229071","AT1G21870",0
"13346","Ha412HOChr05g0229091","AT1G21980",0
"13347","Ha412HOChr05g0229121","AT1G22130",3.22e-49
"13348","Ha412HOChr05g0229171","AT4G10150",1.27e-45
"13349","Ha412HOChr05g0229181","AT1G71270",0
"13350","Ha412HOChr05g0229191","AT1G79000",0
"13351","Ha412HOChr05g0229221","AT1G79000",4.05e-26
"13352","Ha412HOChr05g0229241","AT4G10110",6.35e-52
"13353","Ha412HOChr05g0229251","AT2G46290",0
"13354","Ha412HOChr05g0229291","AT1G59590",7e-33
"13355","Ha412HOChr05g0229311","AT5G43190",6.61e-112
"13356","Ha412HOChr05g0229351","AT3G01400",0
"13357","Ha412HOChr05g0229381","AT4G37630",6.73e-26
"13358","Ha412HOChr05g0229411","AT5G20890",0
"13359","Ha412HOChr05g0229431","AT4G33330",0
"13360","Ha412HOChr05g0229441","AT1G65660",0
"13361","Ha412HOChr05g0229451","AT2G26570",0
"13362","Ha412HOChr05g0229461","AT4G25000",0
"13363","Ha412HOChr05g0229481","AT4G25000",2.2e-152
"13364","Ha412HOChr05g0229491","AT5G42890",3.53e-66
"13365","Ha412HOChr05g0229521","AT3G19270",0
"13366","Ha412HOChr05g0229531","AT3G45630",2.44e-28
"13367","Ha412HOChr05g0229541","AT2G28540",1.78e-29
"13368","Ha412HOChr05g0229561","AT1G65295",7.5e-26
"13369","Ha412HOChr05g0229571","AT5G42900",1.01e-17
"13370","Ha412HOChr05g0229581","AT2G29120",2.26e-104
"13371","Ha412HOChr05g0229591","AT4G11400",2.46e-06
"13372","Ha412HOChr05g0229601","AT1G45976",2.02e-124
"13373","Ha412HOChr05g0229611","AT1G45688",1.27e-102
"13374","Ha412HOChr05g0229621","AT4G36480",0
"13375","Ha412HOChr05g0229631","AT4G27410",1.73e-27
"13376","Ha412HOChr05g0229651","AT3G52310",6.74e-46
"13377","Ha412HOChr05g0229671","AT5G06530",8.99e-50
"13378","Ha412HOChr05g0229691","AT1G44770",1.42e-15
"13379","Ha412HOChr05g0229701","AT5G42830",6.54e-162
"13380","Ha412HOChr05g0229721","AT5G15610",7.03e-12
"13381","Ha412HOChr05g0229731","AT3G23260",2.46e-14
"13382","Ha412HOChr05g0229761","AT5G07850",1.18e-157
"13383","Ha412HOChr05g0229791","AT5G07850",2.79e-160
"13384","Ha412HOChr05g0229801","AT5G47830",4.48e-52
