XRQ_gene_name	XRQ_start	XRQ_end	Bract.rpkm	Corolla.rpkm	Ligule.rpkm	Ovary.rpkm	Pollen.rpkm	Seeds.rpkm	Stamen.rpkm	Stem.rpkm	Pistil.rpkm	412_gene_name	start	end	chr	XRQ_chr
HanXRQChr03g0091531	162342148	162352361	19.01	7.24	15.93	5.64	0.56	10.11	4.22	23.66	8.53	Ha412HOChr03g0141911	177393783	177404232	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0091541	162360269	162362371	0.72	0.13	0.57	0.3	0	0.78	0.33	1.17	0.18	Ha412HOChr03g0141891	177385571	177387649	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0091551	162363082	162365079	0.18	0.12	0.36	0.05	0	0.21	0.05	0.23	0.07	Ha412HOChr03g0141881	177382808	177385186	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0091561	162366317	162369369	3.07	1.86	5.55	1.6	0.01	2.52	0.8	5.01	2.22	Ha412HOChr03g0141871	177374344	177377412	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0091571	162373176	162376999	0.03	0.47	2.17	3.61	0.18	2.44	2.09	0.29	0.1	Ha412HOChr03g0141861	177367829	177371540	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0091631	162556208	162558554	9.55	9.6	15.86	6.56	0.01	5.05	0.69	0.36	0.33	Ha412HOChr03g0141801	177268674	177271019	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0091641	162590296	162594746	0.75	1.41	1.4	0.67	0.01	0.16	0.09	0.09	0.01	Ha412HOChr03g0141771	177233560	177238008	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0091651	162601898	162607542	6.31	0.86	3.09	1.26	8.88	11.29	16.41	5.09	2.86	Ha412HOChr03g0141761	177223040	177229641	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0091661	162609213	162613866	1	2.72	3.99	2.07	4.89	4.96	3.12	2.15	2.57	Ha412HOChr03g0141741	177214308	177218617	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0091681	162623655	162634931	2.84	1.3	3.39	0.69	0.11	2.4	2.94	4.49	1.55	Ha412HOChr03g0141731	177196202	177206321	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0091691	162638091	162703019	2.51	2.71	2.54	2.48	0.21	5.39	3.04	2.98	3.13	Ha412HOChr03g0141721	177184324	177193254	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0091711	162762097	162769938	17.92	44.82	46.23	53.2	0.31	63.54	46.09	29.06	23.7	Ha412HOChr03g0141701	177053686	177061469	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0091761	162864982	162865507	0	0	2.35	0	0	0	0	0	0.38	Ha412HOChr02g0081921	160009758	160010234	Ha412HOChr02	HanXRQChr03
HanXRQChr03g0091771	162879638	162880838	18.24	13.56	11.83	11.36	0.05	13.99	2.9	8.73	13.41	Ha412HOChr02g0081911	159989949	159992576	Ha412HOChr02	HanXRQChr03
HanXRQChr03g0091781	162883432	162884990	1.6	0.7	0.88	0.95	0	2.92	0.32	1.86	0.71	Ha412HOChr05g0226141	128832141	128835827	Ha412HOChr05	HanXRQChr03
HanXRQChr03g0091791	163024294	163033484	10.6	3.32	7.71	3.3	5.92	9.38	2.92	11.01	6.37	Ha412HOChr03g0142141	177743642	177748092	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0091811	163083171	163084670	0.04	0.13	0.02	0.49	0	7.08	0	0	0	Ha412HOChr03g0142181	177836164	177841683	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0091901	163179296	163182888	0.91	1.33	1.28	0.74	0.01	0.18	0.04	0.25	1.21	Ha412HOChr03g0142311	178026544	178030108	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0091941	163254087	163254798	2.37	3.09	2.87	5.71	0.04	6.78	0.36	3.69	3.58	Ha412HOChr03g0142381	178103000	178104274	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0091961	163267959	163275202	3.77	2.79	7.74	3.28	0.7	14.53	19.1	2.95	4.77	Ha412HOChr03g0142421	178117086	178124657	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0091981	163284559	163293645	6.09	6.97	7.95	5.41	0.13	14.73	4.6	9.54	5.53	Ha412HOChr03g0142441	178134624	178143708	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0091991	163298167	163298742	5.16	2.75	1.98	0	0.05	0.18	0.05	0.36	10.87	Ha412HOChr03g0142451	178150501	178151076	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0092001	163310947	163317821	29.79	12.27	36.8	7.4	0.11	8.89	5.59	36.72	18.44	Ha412HOChr03g0142461	178168898	178180818	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0092011	163323031	163325428	1.61	0.46	2.05	0.57	0	1.58	0.44	1.8	0.53	Ha412HOChr03g0142481	178183966	178186005	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0092041	163333337	163337036	7.04	4.79	7.62	7.88	0.04	4.98	8.06	5.48	8.83	Ha412HOChr03g0142491	178188613	178192568	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0092051	163338465	163340936	8.94	6.56	11.7	5.04	0.12	6.82	3.65	11.61	5.83	Ha412HOChr03g0142501	178194010	178195740	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0092061	163346122	163381069	156.98	8.74	7.25	1.9	0.07	1.04	2.15	55.41	21.5	Ha412HOChr03g0142561	178242457	178244244	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0092081	163383921	163386271	18.3	0	0.02	2.66	0.01	60.8	0.21	7.3	0	Ha412HOChr03g0142661	178286622	178288788	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0092101	163682909	163687374	2.33	1.16	3.01	1.35	0.01	2.43	0.7	2.73	0.79	Ha412HOChr17g0843271	142298020	142298508	Ha412HOChr17	HanXRQChr03
HanXRQChr03g0092131	163787834	163789740	34.23	3.41	8.11	0.43	0.17	0.61	0.27	15.02	1.65	Ha412HOChr03g0142571	178247840	178249424	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0092191	163830673	163832945	96.87	155.91	50.66	248.39	0.1	231.55	140.6	78.08	58.15	Ha412HOChr03g0142681	178290822	178293063	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0092201	163877983	163881352	2.04	0	0.02	0.09	0.66	1.05	3.98	0.87	0.52	Ha412HOChr03g0142691	178362453	178366447	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0092221	163894456	163899092	0.93	5.4	4.07	5.4	1.63	5.28	80.3	1.02	5.65	Ha412HOChr03g0142701	178372704	178377936	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0092251	163942632	163944323	1.25	1.01	1.88	0.75	0.01	1.23	0.4	2.52	0.89	Ha412HOChr03g0142731	178456294	178458495	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0092261	163955719	163958009	0.44	0	0.06	0	0	1.71	0	0.04	0.03	Ha412HOChr03g0142761	178466208	178467992	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0092271	163965939	163970171	1.79	0.84	1.73	0.42	0.03	1.79	0.98	6.37	1.76	Ha412HOChr03g0142771	178498422	178502258	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0092311	164096340	164135630	2.8	0.54	0.3	0.25	0	0.36	0.07	1.27	2.71	Ha412HOChr03g0142811	178580451	178588642	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0092321	164179624	164187372	1.27	0.3	0.62	0	0.03	0.14	0.24	4.28	0.26	Ha412HOChr03g0142841	178633544	178639091	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0092341	164202233	164211832	3.54	11.19	8.41	6.84	0.18	5.56	9.36	7.35	8.31	Ha412HOChr03g0142871	178652741	178663565	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0092351	164223412	164227495	0.07	0.81	2.76	3.32	0	7.14	0.13	1.47	0.64	Ha412HOChr03g0142901	178688925	178692580	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0092371	164250008	164257769	14.01	14.22	11.1	11	0.55	28.6	12.37	13.2	18.74	Ha412HOChr03g0142921	178706862	178714617	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0092391	164353350	164358766	73.36	36.12	3.78	0.9	0.03	8.04	0.12	6.52	6.81	Ha412HOChr03g0142931	178780658	178785979	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0092411	164367788	164375401	0.13	0.58	4.11	0.86	0.02	1.21	0.52	1.12	0.63	Ha412HOChr03g0142951	178795189	178802153	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0092431	164408760	164420811	0.25	0.79	9.14	0.05	0	0.3	0.63	1.74	1.35	Ha412HOChr03g0143031	178908539	178919006	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0092451	164433699	164437291	2.98	1.03	2.64	1.33	0.76	6.43	1.4	3.15	2.76	Ha412HOChr03g0143081	178940247	178944258	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0092461	164441922	164443193	0.09	1.37	3.87	4.49	0	2.22	0.65	0.13	0.83	Ha412HOChr03g0143091	178949450	178950890	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0092471	164479524	164485412	18.11	8.83	21.67	36.53	0.07	58.38	6.16	12.42	14.57	Ha412HOChr03g0143121	178985098	178991036	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0092481	164486763	164487290	19.38	30.1	29.34	25.03	0.1	20.86	9.9	15.18	32.17	Ha412HOChr03g0143131	178992220	178993049	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0092491	164493807	164496572	14.38	28.94	299.54	11.82	0.12	21.69	27.57	25.7	76.58	Ha412HOChr03g0143141	178998014	179000782	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0092501	164561344	164564499	2.35	1.3	7.77	1.29	0.02	1.24	0.9	4.6	0.82	Ha412HOChr03g0143171	179055700	179058850	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0092521	164570922	164573165	54.29	22.25	149.49	5.05	0.16	0.37	2.34	33.62	30.82	Ha412HOChr03g0143181	179062025	179064276	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0092531	164576824	164581144	0.15	0.14	0.32	0.06	1.06	0.04	0.08	0.37	0.04	Ha412HOChr03g0143191	179067922	179072234	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0092551	164587949	164589553	0.08	0.05	0.29	0.07	0	0.02	0.15	0.16	0.13	Ha412HOChr03g0143221	179083648	179085252	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0092571	164591629	164592941	3.02	9.98	10.08	4.27	0.01	2.4	1.3	6.7	6.88	Ha412HOChr03g0143251	179087519	179089023	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0092611	164769263	164777100	13.25	16.49	30.1	2.53	0.3	6.83	4.65	7.51	6.69	Ha412HOChr15g0741831	173070786	173079101	Ha412HOChr15	HanXRQChr03
HanXRQChr03g0092621	165048631	165050756	0.45	1.04	11.75	2.86	0.04	2.74	1.04	3.53	1.47	Ha412HOChr03g0143451	179334084	179336175	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0092661	165097234	165099656	32.2	198.41	164.25	29.12	0	4.94	10.75	12.13	11.46	Ha412HOChr03g0143411	179284334	179286747	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0092761	165324764	165330792	7.06	5.06	7.38	2.77	0.04	2.11	6.71	7.85	6.27	Ha412HOChr12g0577431	168867164	168873185	Ha412HOChr12	HanXRQChr03
HanXRQChr03g0092771	165356293	165364684	0.68	0.58	1.63	0.68	0.05	0.37	1.8	1.7	1.35	Ha412HOChr12g0577441	168901789	168910256	Ha412HOChr12	HanXRQChr03
HanXRQChr03g0092791	165367352	165371013	0	0	0.03	0	0.01	0.34	0.04	0	0	Ha412HOChr12g0577461	168912925	168915073	Ha412HOChr12	HanXRQChr03
HanXRQChr03g0092821	165491633	165499813	8.77	4.73	9.61	7.02	1.11	16.23	2.81	12.52	4.19	Ha412HOChr12g0577511	169052136	169060216	Ha412HOChr12	HanXRQChr03
HanXRQChr03g0092831	165500255	165501488	227.03	3.17	41.76	6.22	1.16	6.24	26.01	580.8	29.75	Ha412HOChr12g0577521	169060757	169062592	Ha412HOChr12	HanXRQChr03
HanXRQChr03g0092841	165501539	165503882	2.02	3.03	8.48	1.72	0.01	1.35	0.53	5.37	10.72	Ha412HOChr12g0577531	169061870	169064703	Ha412HOChr12	HanXRQChr03
HanXRQChr03g0092851	165679271	165688255	5.6	2.11	8.2	1.52	0.05	1.47	4.02	4.8	4.71	Ha412HOChr03g0143481	179370723	179379812	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0092861	165704760	165707811	0.12	0.03	0	0.53	0	0.02	1.64	2.11	0.03	Ha412HOChr03g0143501	179396471	179398737	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0092881	165766831	165768684	0.01	0.31	0.02	0	0	0.01	0.4	0	0.02	Ha412HOChr03g0143541	179462007	179463861	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0092891	165774811	165776369	16.78	14.96	2.91	181.21	0	2.06	2.1	21.08	28.14	Ha412HOChr03g0143551	179469995	179471651	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0092901	165776420	165777375	0	0	0	0	0	0	25.42	0	0.01	Ha412HOChr03g0143561	179471619	179472554	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0092911	165781278	165784888	14.65	11.52	12.5	13.83	0.2	41.26	20.41	23.86	20.49	Ha412HOChr03g0143571	179476426	179480064	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0092941	165824427	165831986	1.74	1.03	2.53	0.51	0.01	1.59	0.27	2.04	0.69	Ha412HOChr03g0143611	179530499	179538050	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0092951	165834103	165838332	93.66	58.21	72.02	72.02	0.54	66.14	61.57	81.95	104.99	Ha412HOChr03g0143631	179540176	179544533	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0092961	165838383	165841927	21.29	23.14	28.16	19.14	0.13	31.1	7.82	26.8	14.35	Ha412HOChr03g0143641	179544523	179548370	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093001	165966346	165968741	87.85	65.77	56.06	146.43	0.1	38.92	34.75	74.92	91.11	Ha412HOChr03g0143701	179677961	179680278	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093041	165986758	165994280	10.07	5.66	12.84	4.4	0.24	7.41	6.67	11.91	5.8	Ha412HOChr03g0143711	179687127	179694303	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093051	165994921	165996200	0.79	0.15	0.19	2.06	0.39	0.76	2.26	1.13	1.82	Ha412HOChr03g0143721	179695287	179701656	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093061	165997409	166005272	9.23	4.29	11.67	3.26	0.03	10.83	0.76	13.24	3.75	Ha412HOChr03g0143761	179709482	179716493	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093071	166019416	166023211	0.96	2.57	5.42	2.35	0	3.51	1.41	2.95	1.57	Ha412HOChr03g0143771	179736045	179739802	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093081	166130848	166131972	1.07	1.29	2.07	0	0	0.15	0	0.69	0.39	Ha412HOChr03g0143781	179857151	179857981	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093151	166504060	166506903	1.69	0.12	0.37	0	0.01	0.04	0.35	3.6	0	Ha412HOChr03g0143941	180275455	180278172	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093161	166529121	166529855	0	0	0.08	0	0	1.16	0	1.54	0.03	Ha412HOChr03g0143931	180251564	180252422	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093171	166531913	166538521	20.62	10.11	31.1	11.92	0.33	11.14	5.31	39.62	10.34	Ha412HOChr03g0143921	180242530	180249501	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093181	166568565	166572344	10.04	4.15	16.43	5.16	0.43	13.26	6.09	23.44	10.76	Ha412HOChr03g0143911	180183767	180187772	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093191	166579090	166582996	1.64	0.72	0.84	4.7	0.01	13.61	0.15	2.18	1.57	Ha412HOChr03g0143901	180171337	180175532	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093201	166633786	166638606	12.6	2.2	4.81	4.09	0.02	6.41	2.92	9.49	4.6	Ha412HOChr03g0143881	180140142	180144905	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093221	166695473	166700308	0	0	0	0	0	0.44	0	0	0	Ha412HOChr03g0143841	179966471	179971548	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093231	166726078	166728365	0.01	0.02	0.03	0.06	0	0.01	0.03	2.14	0.02	Ha412HOChr03g0144121	180575750	180578453	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093251	166779570	166785580	11.19	3.73	12.74	4.31	0.04	4	2.57	16.72	4.63	Ha412HOChr03g0144101	180505832	180511842	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093261	166788374	166790958	10.07	4.36	6.27	4.42	0.12	5.57	3.57	9.49	6.76	Ha412HOChr03g0144081	180500197	180503013	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093271	166795607	166797484	0.11	0	0.14	0	0	0.18	0.36	4.06	0.15	Ha412HOChr03g0144071	180496072	180497957	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093281	166799363	166806850	1.46	1.2	2.1	1.45	0.08	1.37	0.96	1.89	1.43	Ha412HOChr03g0144051	180486711	180494116	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093291	166811530	166816458	19.78	1.41	0.68	0.25	0.01	6.03	1.06	19.62	0.48	Ha412HOChr03g0144031	180465626	180470351	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093301	166860226	166862770	0.19	0	0	0	0	3.01	0	0.05	0	Ha412HOChr03g0144021	180376302	180378911	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093321	166926117	166929699	0.31	0.44	1.06	0	0.05	0.39	0.05	0.3	0.39	Ha412HOChr03g0143971	180341080	180344945	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093391	167443977	167449004	26.2	12.96	42.83	12.77	0.08	25.8	8.43	43.65	14.68	Ha412HOChr03g0144961	181413476	181418538	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093401	167449237	167449767	0	0	0.02	0	1.43	0	23.2	0	1.01	Ha412HOChr03g0144951	181412716	181413246	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093411	167451098	167456253	1	0.12	1.22	3.58	0.52	9.17	6.89	0.2	0.96	Ha412HOChr03g0144901	181391669	181405121	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093431	167463467	167464969	54.51	29.71	28.57	13.36	0.04	3.43	3.47	19.06	29.14	Ha412HOChr03g0144871	181382917	181384362	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093441	167466445	167467574	0.07	0.04	2.75	1.48	0	1.11	0.36	2.26	0.69	Ha412HOChr03g0144861	181379822	181380947	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093461	167506451	167515747	1.63	2.09	2.88	1.44	0.21	3.37	1.43	2.38	2.26	Ha412HOChr03g0144831	181331382	181340960	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093471	167517945	167525741	0.3	0.42	1.8	0.41	0.01	0.51	0.27	0.6	0.61	Ha412HOChr03g0144821	181321464	181330073	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093491	167540037	167543007	0.07	9.55	4.35	88.12	30419.76	0.05	360.3	1.05	91.83	Ha412HOChr03g0144811	181310782	181313744	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093501	167546483	167551428	31.91	11.95	36.13	9.08	0.05	5.94	2.79	25.78	9.83	Ha412HOChr03g0144801	181304340	181308819	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093511	167554022	167556578	1.63	2.97	6.74	2.01	3.57	3.56	2.47	3.9	5.33	Ha412HOChr03g0144791	181299671	181302311	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093531	167559847	167562089	11	18.64	6.17	11.07	0.04	4.55	1.43	8.27	6.23	Ha412HOChr03g0144781	181291514	181293644	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093541	167562930	167566459	1.34	0.31	2.05	0.21	0.04	0.27	0.31	1.47	0.4	Ha412HOChr03g0144771	181287884	181291082	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093551	167570056	167574564	6.8	6.98	23.44	7.57	0.01	3.88	2.55	36.69	3.7	Ha412HOChr03g0144761	181278764	181283311	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093561	167577761	167582049	0.71	0.23	1.75	0.39	0.45	0.84	0.82	2.08	0.67	Ha412HOChr03g0144741	181270986	181275280	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093571	167583934	167587743	6.31	2.2	15.63	0.75	0.01	2.14	1.99	19.57	1.36	Ha412HOChr03g0144721	181265294	181269099	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093601	167589396	167594573	0.76	0.33	0.73	0.49	6.11	0.34	8.4	0.67	0.67	Ha412HOChr03g0144691	181258638	181263632	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093611	167595040	167596082	2.36	0.82	1.94	0.12	1.05	1.1	0.61	2.83	1.3	Ha412HOChr03g0144681	181249328	181257985	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093621	167602785	167607036	0.56	0.27	1.67	0.08	0.33	0.27	0.33	3.12	0.28	Ha412HOChr03g0144661	181245997	181250246	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093631	167614632	167616853	2.82	0.67	1.96	0.57	0.02	3.35	0.84	4.02	0.97	Ha412HOChr03g0144651	181236178	181238389	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093641	167624499	167642332	0.31	0.37	0.32	0.07	14.34	0.24	6.15	0.18	0.31	Ha412HOChr03g0144641	181218044	181230768	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093651	167644297	167647827	10.21	7.13	12.69	7.55	0.27	13.33	3.72	14	6.75	Ha412HOChr03g0144621	181210898	181216093	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093671	167650909	167653490	1.67	2.11	2.38	1.15	0.03	0.64	0.42	4.79	1.13	Ha412HOChr03g0144611	181205747	181208787	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093701	167720321	167722644	8.09	9.67	3.72	16.41	0.05	7.76	7.35	6.13	6.79	Ha412HOChr03g0144571	181134299	181136616	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093721	167748439	167760249	6.96	0.65	0.15	0	0.01	0.16	0.04	1.11	0.56	Ha412HOChr03g0144541	181096585	181107737	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093741	167829496	167831674	1.53	1.13	2.85	2.09	0	1.61	0.24	2.29	0.27	Ha412HOChr03g0144521	181023128	181025712	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093751	167837675	167840150	4.34	5.27	3.06	3.77	0.07	3.68	2.52	4.29	3.97	Ha412HOChr03g0144501	181014476	181016956	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093771	167843679	167845443	6.01	0.42	2.08	0.57	0	1.78	0.69	2.93	2.64	Ha412HOChr03g0144461	181009978	181010504	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093781	167856377	167869893	0	0	0	0	0.14	0.07	1.65	0.03	0.05	Ha412HOChr03g0144431	180983248	180998136	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093791	167871559	167871969	0.68	11.01	105.63	510.88	0.04	228.33	3.64	5.33	16.6	Ha412HOChr03g0144421	180981153	180981701	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093791	167871559	167871969	0.68	11.01	105.63	510.88	0.04	228.33	3.64	5.33	16.6	Ha412HOChr14g0678471	164725616	164726238	Ha412HOChr14	HanXRQChr03
HanXRQChr03g0093801	167877311	167880197	11.83	3.02	11.77	5.53	0.07	11.45	1.93	14.66	8.56	Ha412HOChr03g0144411	180973020	180975901	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093811	167884733	167890416	0.49	0.33	0.84	0.53	0.04	0.56	0.51	1.68	0.31	Ha412HOChr03g0144401	180962589	180968318	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093821	167890763	167893555	5.69	7.05	5.29	5.53	0.05	11.37	4.98	5.39	6.25	Ha412HOChr03g0144391	180959486	180964178	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093831	167924796	167925698	0.02	0	0	0.23	0	3.95	0.34	8.98	0.09	Ha412HOChr03g0144381	180927129	180928031	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093871	168017460	168020898	0.13	0.03	0.42	0.72	0	0.72	1.28	0.16	0.08	Ha412HOChr03g0144351	180835604	180839034	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093881	168022725	168027614	10.65	2.22	9.22	2.4	0.02	4.92	2.86	11.09	9.21	Ha412HOChr03g0144331	180830217	180833770	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093901	168048343	168051935	47.07	27.61	40.67	53.39	0.21	85.84	18.87	35.89	45	Ha412HOChr03g0144311	180805887	180809485	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093911	168051986	168057532	0	0	0.01	0.05	1	0	1.82	0	0.05	Ha412HOChr03g0144301	180800360	180805844	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093921	168062526	168065931	4.41	4.62	12.45	3.25	0.04	6.6	2.36	10.63	4.45	Ha412HOChr03g0144291	180792234	180795292	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093941	168069714	168073170	0.06	0.63	5.38	5.66	0	7.91	0.82	0.94	1.21	Ha412HOChr03g0144271	180754719	180758211	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093951	168082520	168087817	7.19	3.81	14.57	3.37	0.87	3.13	3.21	9.51	5.13	Ha412HOChr03g0144241	180735147	180735788	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093961	168091522	168092944	0.78	0.41	0.23	0.3	0.01	1.02	0.49	9.29	0.4	Ha412HOChr03g0144221	180727622	180729004	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093971	168095698	168098782	6.65	2.36	2	1.54	0.06	9.04	1.65	3.96	1.16	Ha412HOChr03g0144201	180722542	180725417	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093981	168101909	168102532	0	0	0	0	0	0	0	0	0	Ha412HOChr03g0144191	180718688	180719311	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0093991	168103867	168105809	0.93	18.08	0.06	0.5	0	1.79	0	0.07	0.58	Ha412HOChr03g0144181	180715942	180717916	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0094011	168180521	168182331	0	0.29	0	0	0	0.01	0.17	0	0.01	Ha412HOChr03g0144131	180604328	180606108	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0094021	168357740	168359932	0.57	2.26	5.49	0.7	0.01	1.19	1.18	1.24	3.62	Ha412HOChr03g0145031	181625224	181627422	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0094031	168441698	168445751	16.22	6.85	18.9	7.8	0.04	16.52	3.05	19.53	11.17	Ha412HOChr03g0145021	181544698	181548782	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0094041	168445802	168447806	125.35	241.15	87.73	298.66	0.17	88.62	111.35	70.79	205.27	Ha412HOChr03g0145011	181542761	181544679	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0094051	168468144	168470700	21.76	19.53	26.62	3.34	0.05	1.44	1.53	19.98	7.2	Ha412HOChr03g0144991	181509528	181511861	Ha412HOChr03	HanXRQChr03
HanXRQChr03g0094071	168482397	168484577	11.65	14.46	3.34	6.51	0.03	4.88	1.86	7.09	7.11	Ha412HOChr03g0144971	181495340	181497759	Ha412HOChr03	HanXRQChr03
